accuracy,precision,recall,f1,roc_auc,rmse,log_loss,model,basin,split
0.9615384615384616,0.8333333333333334,1.0,0.9090909090909091,0.9746031746031746,0.31408361370555077,0.35465020077347087,Random Forest,Nile,train
0.7,0.0,0.0,0.0,0.32,0.48016456841216754,0.6715468816997738,Random Forest,Nile,test
1.0,1.0,1.0,1.0,1.0,0.08397445785819393,0.06412150698013942,Gradient Boosting,Nile,train
0.65,0.0,0.0,0.0,0.3466666666666667,0.5383261130538263,1.0024896395957286,Gradient Boosting,Nile,test
0.7692307692307693,0.391304347826087,0.6923076923076923,0.5,0.8011834319526628,0.42871250824695717,0.5501957514999638,Logistic Regression,Yangtze Basin,train
0.15,0.15,1.0,0.2608695652173913,0.7254901960784313,0.863638263850917,4.069636263415486,Logistic Regression,Yangtze Basin,test
0.9871794871794872,1.0,0.9230769230769231,0.96,1.0,0.2819879267320353,0.31289862918037914,Random Forest,Yangtze Basin,train
0.85,0.5,0.3333333333333333,0.4,0.8431372549019607,0.41450853683873357,0.5309783419203533,Random Forest,Yangtze Basin,test
1.0,1.0,1.0,1.0,1.0,0.05791840097661339,0.043706267574125296,Gradient Boosting,Yangtze Basin,train
0.55,0.2,0.6666666666666666,0.3076923076923077,0.6666666666666666,0.5174438386927833,0.7386468402286606,Gradient Boosting,Yangtze Basin,test
