system:index,ET_mm,month,year,.geo
152,81.7905681493492,9,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,40.2639918004486,10,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,37.7568524454751,11,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,25.313747688313114,12,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,30.821321054280553,1,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,38.504152907902366,2,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,53.64474269336127,3,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,47.24959198681176,4,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,83.51334479961288,5,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,97.88956488446455,6,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,103.6893237654218,7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,96.97799420063485,8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,75.61354779950975,9,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,37.78827026169626,10,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,37.8343322857776,11,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,26.44216598092914,12,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,30.151642827684288,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,37.33294936627275,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,48.34890886778894,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,66.64670995867608,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,62.66740887784378,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,97.4188078817201,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,111.28865188760929,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,102.39253919006674,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,78.43543555299522,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,53.4117581689113,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,28.339685602344975,11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,29.279679054629973,12,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,32.20010435031387,1,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,39.47413804111622,2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,50.963263155065356,3,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,49.341991120089496,4,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,82.33061380203338,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,97.52598865604334,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,110.46496302631027,7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,103.56497360065799,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,83.86493083878527,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,41.48238483678199,10,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,37.68044095301603,11,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,25.97420491968064,12,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,30.22326645950273,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,40.40872819724746,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,49.93983148108495,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,49.684250562872414,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,84.05787696513356,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,101.523817028397,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,110.2890441736945,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,107.38890530144216,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,73.38521797956267,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,35.54284821094899,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,37.03624234115936,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,25.713222165226544,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,30.480910493764863,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,38.28032992654968,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,49.475067528800416,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,50.073834939246716,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,80.51196256147227,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,96.54954528009505,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,107.10941663269224,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,102.36624010737299,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,76.64792352680294,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,37.28096247585811,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,36.92645752447226,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,25.85185849655489,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,30.948480709863425,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,40.632212339727744,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,50.05145368690034,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,67.05194296524209,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,60.7452594498469,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
