system:index,ET_mm,month,year,.geo
240,101.14859934526372,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,97.14988258896625,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,103.97487385542568,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,84.29130742950603,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,107.28277919270704,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,94.37809807068655,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,85.14712237428562,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,82.3900917050132,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,93.75721882165,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,73.82224205278659,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,105.62007022103788,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,95.8688133350378,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,102.46865911478845,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,101.41211925281532,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,105.08056788948288,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,84.06461723802714,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,113.47668169159503,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,94.7238368079332,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,89.65612649024011,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,85.3179205788545,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,99.31880277287807,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,79.29430108612094,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,112.6468110203399,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,100.23730619628687,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,102.05894013381827,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,97.33210280138319,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,108.45715933202023,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,116.53848855076644,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,78.8553201666821,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,91.04051794507015,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,76.29752762967495,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,76.86636419909846,8,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,91.48391839284159,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,103.33362110607885,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,82.08514687980586,11,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,100.9722880216033,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
