,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
1/1/2013,0.594793442,2.821232521,-0.107921318,-1.996080414,-0.840245698,0.371030743,0.086716654,-0.103826116,1.362057857,5.119908872,1.015711843
2/1/2013,1.204226027,-0.54612735,-0.649559703,-2.602597751,-0.046587117,-0.150490824,-0.100725844,0.296084346,0.110385713,11.22240029,0.963873029
3/1/2013,1.607931192,-0.191980332,-0.727509794,-2.461942685,0.563387334,-0.526429833,0.444759466,-0.287223098,5.962222159,14.09658432,0.401501672
4/1/2013,2.69676266,3.136364989,-0.566925473,-1.28934363,-1.528294128,-0.460827646,0.05730664,-0.691895941,2.022798611,3.499819631,-0.669582805
5/1/2013,0.835160903,1.574697868,-0.113072462,-0.225828246,5.090920925,-0.635284527,1.536296702,2.192047347,0.706353203,4.528582573,0.285310518
6/1/2013,0.271137686,0.37261541,-0.045731176,0.01806809,-5.82531618,1.297663875,-0.225277354,1.436716038,-0.102440465,3.140966312,2.141308128
7/1/2013,-0.802048643,-0.214538605,0.244139092,0.004002357,-7.41340915,1.183521685,-0.545288262,0.781452759,0.863359778,2.419451237,0.073980805
8/1/2013,-0.318847347,-0.552837152,0.098214381,-0.007793397,-2.674571452,-3.537975228,-0.199491988,4.671798789,-0.730792035,5.080211287,-0.380360863
9/1/2013,0.258274249,-0.59284671,0.258455327,0.134029063,0.742553369,6.351232902,-0.030687508,-6.644635366,-0.824372374,2.829589673,-0.114827306
10/1/2013,-0.416130246,0.027749567,0.143986288,-0.427161021,-1.478519139,0.178583342,0.231678279,7.030277729,-0.236278171,1.958011461,-0.917597626
11/1/2013,0.357865284,-0.444525826,0.299844641,-0.574016049,0.016704147,0.660076413,-0.047399292,-0.259973124,-0.6555213,8.141865316,-0.24357379
12/1/2013,-0.971097469,0.436036188,-0.147624419,-2.680185013,0.380533856,-0.361476451,0.033196408,-0.079055415,0.020184262,3.214776191,-1.171421756
1/1/2014,-0.900852678,-1.108525074,-0.149483413,-2.653232709,-0.95604368,-0.378492528,-0.130007042,0.524590728,-0.70897872,10.63999707,-1.006621123
