type,start_date,end_date,duration_blocks,basin,variable
Wet,2016-01-01,2016-01-01,1,Nile,Runoff
Dry,2017-01-01,2018-01-01,2,Nile,Runoff
Wet,2019-01-01,2020-01-01,2,Nile,Runoff
Dry,2021-01-01,2021-01-01,1,Nile,Runoff
Wet,2022-01-01,2022-01-01,1,Nile,Runoff
Dry,2023-01-01,2025-01-01,3,Nile,Runoff
Dry,2001-01-01,2001-01-01,1,Yangtze Basin,Runoff
Wet,2002-01-01,2002-01-01,1,Yangtze Basin,Runoff
Dry,2003-01-01,2009-01-01,7,Yangtze Basin,Runoff
Wet,2010-01-01,2010-01-01,1,Yangtze Basin,Runoff
Dry,2011-01-01,2011-01-01,1,Yangtze Basin,Runoff
Wet,2012-01-01,2012-01-01,1,Yangtze Basin,Runoff
Dry,2013-01-01,2013-01-01,1,Yangtze Basin,Runoff
Wet,2014-01-01,2017-01-01,4,Yangtze Basin,Runoff
Dry,2018-01-01,2018-01-01,1,Yangtze Basin,Runoff
Wet,2019-01-01,2021-01-01,3,Yangtze Basin,Runoff
Dry,2022-01-01,2023-01-01,2,Yangtze Basin,Runoff
Wet,2024-01-01,2024-01-01,1,Yangtze Basin,Runoff
Dry,2025-01-01,2025-01-01,1,Yangtze Basin,Runoff
