basin,year,month,ET_mm
California,2016,4,43.91877126342624
California,2016,5,36.22486149240643
California,2016,6,37.33440971225843
California,2016,7,30.025706898026577
California,2016,8,23.923192655665936
California,2016,9,22.01141498837696
California,2016,10,21.599058596055652
California,2016,11,13.949063643436094
California,2016,12,18.76148925246348
California,2017,1,22.42210702406974
California,2017,2,29.653073910832195
California,2017,3,39.67609828053904
California,2017,4,33.331853172974974
California,2017,5,47.19166659409619
California,2017,6,40.684914564772335
California,2017,7,25.228794262755528
California,2017,8,22.90491539261614
California,2017,9,26.434136251571527
California,2017,10,12.76208610234552
California,2017,11,18.53117302507441
California,2017,12,12.557972307039073
California,2018,1,19.496734347923
California,2018,2,22.11338365566638
California,2018,3,33.28157777074367
California,2018,4,29.057417315406145
California,2018,5,47.57225793077507
California,2018,6,40.88607125020544
California,2018,7,24.48710244963152
California,2018,8,23.645417015366007
California,2018,9,21.83597751307374
California,2018,10,13.986940540217372
California,2018,11,14.807282182038186
California,2018,12,17.966468585291167
California,2019,1,22.919503987020043
California,2019,2,28.188414188882696
California,2019,3,39.26271588495768
California,2019,4,36.26594523328808
California,2019,5,52.51602194961726
California,2019,6,46.76777463502697
California,2019,7,35.562187762637244
California,2019,8,26.412015763824407
California,2019,9,26.00064714766708
California,2019,10,12.670798584440638
California,2019,11,16.662509160343504
California,2019,12,20.38231362961444
California,2020,1,22.46267540918092
California,2020,2,24.079313347779944
California,2020,3,37.88066959961876
California,2020,4,45.95461208621671
California,2020,5,33.056425859933825
California,2020,6,41.95958503829458
California,2020,7,30.476060322197405
California,2020,8,23.012772544462152
California,2020,9,15.870300615808596
California,2020,10,15.85217167169077
California,2020,11,11.641944617436604
California,2020,12,14.983672032974358
California,2021,1,19.94100941696643
California,2021,2,22.760514292691948
California,2021,3,30.513367330936315
California,2021,4,25.09747444611808
California,2021,5,35.91682631271586
California,2021,6,29.761410168956413
California,2021,7,22.034183669582664
California,2021,8,21.794256106907284
California,2021,9,18.90737165808392
California,2021,10,16.616976425247092
California,2021,11,19.369429358914488
California,2021,12,18.086241597470572
California,2022,1,21.535269650059583
California,2022,2,23.899408092032637
California,2022,3,31.524172016690176
California,2022,4,26.331758559229804
California,2022,5,35.811839285638506
California,2022,6,34.59188207494771
California,2022,7,26.772454404170947
California,2022,8,21.72431209292295
California,2022,9,22.732443167681232
California,2022,10,11.438478629487788
California,2022,11,18.483256878050607
California,2022,12,18.943170396764938
California,2023,1,22.917000299335356
California,2023,2,27.613075917839296
California,2023,3,38.75058348199642
California,2023,4,34.0173302303671
California,2023,5,52.820835205417595
California,2023,6,45.98496380687893
California,2023,7,30.94537458764036
California,2023,8,32.65794660423061
California,2023,9,28.552089203915394
California,2023,10,14.55067248025177
California,2023,11,17.65226055302216
California,2023,12,17.559299734669434
California,2024,1,23.696046400837357
California,2024,2,30.55871905768425
California,2024,3,39.95689974060963
California,2024,4,46.72926422648734
California,2024,5,34.13310410708433
California,2024,6,37.564983486727726
California,2024,7,19.73676825603954
California,2024,8,24.17794057080238
California,2024,9,19.04835272631758
California,2024,10,16.701609720682093
California,2024,11,12.643310167649656
California,2024,12,17.23469179501414
Colorado,2002,1,19.430669270628893
Colorado,2002,2,15.412569161644832
Colorado,2002,3,15.199243273665214
Colorado,2002,4,9.282276700463482
Colorado,2002,5,9.269215747628955
Colorado,2002,6,10.07534128300862
Colorado,2002,7,12.312223893005871
Colorado,2002,8,11.148121560404352
Colorado,2002,9,14.894291228179624
Colorado,2002,10,9.69724659820356
Colorado,2002,11,17.184543526166806
Colorado,2002,12,19.9115483235296
Colorado,2003,1,19.27663118503032
Colorado,2003,2,25.037058139371155
Colorado,2003,3,21.29985776720645
Colorado,2003,4,12.556686934365134
Colorado,2003,5,14.856981666436305
Colorado,2003,6,14.979804554289544
Colorado,2003,7,13.595846486007492
Colorado,2003,8,16.748241992375867
Colorado,2003,9,12.368789141820868
Colorado,2003,10,6.646217800227176
Colorado,2003,11,19.136172603135343
Colorado,2003,12,18.127350282285235
Colorado,2004,1,22.28469561366182
Colorado,2004,2,24.11219579787073
Colorado,2004,3,17.05828114318711
Colorado,2004,4,16.775781624376368
Colorado,2004,5,10.236768749377248
Colorado,2004,6,14.37480565655448
Colorado,2004,7,15.214276406326867
Colorado,2004,8,15.99157028848984
Colorado,2004,9,12.787654252264833
Colorado,2004,10,17.37885379457219
Colorado,2004,11,18.161325925186095
Colorado,2004,12,21.11209742009064
Colorado,2005,1,24.067781686789058
Colorado,2005,2,31.437106140467684
Colorado,2005,3,26.4522421188276
Colorado,2005,4,16.67594183212875
Colorado,2005,5,20.200636465707984
Colorado,2005,6,18.64529672421547
Colorado,2005,7,16.235428480653194
Colorado,2005,8,19.254314888617127
Colorado,2005,9,12.699944478287918
Colorado,2005,10,11.353473730936871
Colorado,2005,11,13.913326841757714
Colorado,2005,12,15.62963898045856
Colorado,2006,1,17.958276812644687
