basin,year,month,ET_anomaly_mm
Mississippi / Missouri,2018,8,3.198844811317869
Mississippi / Missouri,2018,9,6.178453431210286
Mississippi / Missouri,2018,10,0.49928445802261123
Mississippi / Missouri,2018,11,1.7567426866789546
Mississippi / Missouri,2018,12,0.20310952116462033
Mississippi / Missouri,2019,1,0.3575886721340318
Mississippi / Missouri,2019,2,-2.60508972751645
Mississippi / Missouri,2019,3,1.9187479299536463
Mississippi / Missouri,2019,4,0.7373930376261839
Mississippi / Missouri,2019,5,11.968789814773316
Mississippi / Missouri,2019,6,3.791373795994261
Mississippi / Missouri,2019,7,13.475325359842785
Mississippi / Missouri,2019,8,12.116788639188556
Mississippi / Missouri,2019,9,8.300966915778822
Mississippi / Missouri,2019,10,-0.5473394718092877
Mississippi / Missouri,2019,11,1.3333087266001833
Mississippi / Missouri,2019,12,-0.39208284454670306
Mississippi / Missouri,2020,1,0.4873814998841901
Mississippi / Missouri,2020,2,1.8410958881096384
Mississippi / Missouri,2020,3,5.906065724476939
Mississippi / Missouri,2020,4,11.048374597799146
Mississippi / Missouri,2020,5,-8.659044625886565
Mississippi / Missouri,2020,6,2.929046402230597
Mississippi / Missouri,2020,7,9.967479434824469
Mississippi / Missouri,2020,8,6.422285580188571
Mississippi / Missouri,2020,9,-0.34047993998753867
Mississippi / Missouri,2020,10,5.145267386173941
Mississippi / Missouri,2020,11,-3.941178953279362
Mississippi / Missouri,2020,12,1.2145938181052713
Mississippi / Missouri,2021,1,0.5095084221876434
Mississippi / Missouri,2021,2,-2.531961828071939
Mississippi / Missouri,2021,3,-0.9160446546853152
Mississippi / Missouri,2021,4,-3.0871011198043234
Mississippi / Missouri,2021,5,2.5125881080150734
Mississippi / Missouri,2021,6,1.7992460824260945
Mississippi / Missouri,2021,7,7.0445470800611645
Mississippi / Missouri,2021,8,5.712443845085119
Mississippi / Missouri,2021,9,2.4694619016038146
Mississippi / Missouri,2021,10,1.352303380530408
Mississippi / Missouri,2021,11,1.3172583357519088
Mississippi / Missouri,2021,12,0.6910418221002388
Mississippi / Missouri,2022,1,-0.48994775724478146
Mississippi / Missouri,2022,2,-0.26472727248251715
Mississippi / Missouri,2022,3,-0.937321206094353
Mississippi / Missouri,2022,4,-3.895641294371309
