basin,model,feature,value,abs_normalized
Danube,Logistic Regression,rolling_autocorr_12,-0.1527726829138405,0.38027754424379867
Danube,Logistic Regression,rolling_variance_12,0.14080347034940455,0.3504841107992691
Danube,Logistic Regression,rolling_skew_12,-0.007301560253383952,0.018174842186092346
Danube,Logistic Regression,month_sin,-0.13426187431822792,0.3342009505724256
Danube,Logistic Regression,month_cos,0.19967076857366206,0.4970149642085334
Danube,Random Forest,anomaly_lag1,0.1655106516423918,1.0
Danube,Random Forest,anomaly_lag2,0.07938054100696927,0.479609863288326
Danube,Random Forest,anomaly_lag3,0.06379367529169568,0.3854354668938804
Danube,Random Forest,raw_lag1,0.07208178356347049,0.4355114480439178
Danube,Random Forest,bar_state_lag1,0.1283605540208531,0.7755425572137405
Danube,Random Forest,rolling_autocorr_3,0.012207407264012402,0.07375602200146104
Danube,Random Forest,rolling_variance_3,0.051401327480955494,0.3105620512691536
Danube,Random Forest,rolling_skew_3,0.08181152992573568,0.49429767277154213
Danube,Random Forest,rolling_autocorr_6,0.0703471615896695,0.4250310230284398
Danube,Random Forest,rolling_variance_6,0.04755748202409161,0.2873378936773568
Danube,Random Forest,rolling_skew_6,0.04236762552658087,0.2559812622701883
Danube,Random Forest,rolling_autocorr_12,0.05383820348226607,0.32528542995885734
Danube,Random Forest,rolling_variance_12,0.033005098818885144,0.19941374462229255
Danube,Random Forest,rolling_skew_12,0.0542819933038767,0.3279667668831388
Danube,Random Forest,month_sin,0.023228355053428955,0.14034356594533243
Danube,Random Forest,month_cos,0.02082661000511731,0.12583244521395534
Danube,Gradient Boosting,anomaly_lag1,0.15585600854486428,1.0
Danube,Gradient Boosting,anomaly_lag2,0.09191735099425488,0.5897581482576965
Danube,Gradient Boosting,anomaly_lag3,0.062449103247867385,0.4006846051744675
Danube,Gradient Boosting,raw_lag1,0.05526799029518049,0.3546093013107749
Danube,Gradient Boosting,bar_state_lag1,0.1231651237977242,0.790249442082114
Danube,Gradient Boosting,rolling_autocorr_3,0.00021487946790090407,0.001378705061852328
